Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Ash Grey,,L,,,gKWxEMcopz8Xq3g2O_4793,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091280056_kbup.jpg?v=1667373602,3,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Ash Grey,,XL,,,eeHazDBoWexy7yT9k_5702,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4138933319_sytz.jpg?v=1667373602,4,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Ash Grey,,2XL,,,Gbs73n8aOebRzBLiN_1976,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4138933283_gpp4.jpg?v=1667373602,5,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Ash Grey,,3XL,,,qMNIlvRvWFc8w8jfQ_1297,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091279896_pedv.jpg?v=1667373602,6,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,S,,,H2zOyKbINB7uFV8h3_8727,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4138933149_ipgv.jpg?v=1667373602,7,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,M,,,Ogr3zB4MCjpowqsXB_9312,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091279830_msua.jpg?v=1667373602,8,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,L,,,qWYudrg3znvvKcKLl_4631,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091279784_bf3s.jpg?v=1667373602,9,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,XL,,,IURTfot8lwDCIV2K8_52,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091279756_vs4n.jpg?v=1667373602,10,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,2XL,,,mArzWmrgTsF7m1NuV_1131,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Black,,3XL,,,T1c6Pvini7qYsDOne_8365,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,S,,,t26XrSkxKVLYmqOpD_5347,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,M,,,Z0apY0LHcDBt4jiVw_4605,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,L,,,Z667zuYagNnSzd1LN_719,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,XL,,,ig4hWh2LyJWUa6a1T_1462,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,2XL,,,FU4WkHvARGKqOo2pF_2665,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Cardinal Red,,3XL,,,1oeYKwyt5vq0BMDzH_8022,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,S,,,hm3kQV67WSOQjnqhN_5234,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,M,,,on20Eyx7ZesYxwEm1_2980,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,L,,,wWaVGdbluPsq4RMQd_1687,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,XL,,,C86MBUDzIMGaJWjAw_6238,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,2XL,,,dFrZqb8fnuhye9xQf_4099,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Forest Green,,3XL,,,l58ctA2AsVeYCzzCK_5727,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,S,,,ZvwEQOy0pVkCddmeu_7346,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,M,,,iyhR2nWmWJVlLmZD7_1170,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,L,,,neWF4jFjzOmFaIxIQ_9079,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,XL,,,qWEQkSZGa9dV5qSe1_9251,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,2XL,,,lMGMBQMKM8RpOhez2_9078,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Graphite Heather,,3XL,,,NJl4WgAtrTzQQLACS_4706,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,S,,,t1xwTaRDkU3vllSWt_5886,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,M,,,4tsgMGFq99UKpT5kk_8686,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,L,,,AofA7Une6ZdVFIds9_3242,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,XL,,,CBY6uGi7xFhMs32on_7542,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,2XL,,,HsGr8OmraYNzpfsSj_2908,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Irish Green,,3XL,,,65ItbfOVzal8RJ2G5_4784,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,S,,,hPd7wXV8WCjQhOyE1_93,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Navy,,M,,,U5dapKz7MchbchQm5_6635,0.0,shopify,continue,manual,16.13,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
